experiment_id,timestamp,seed,path_length,num_searchers,time_budget,sample_ratio,heterogeneous_terrain,key_position,success,key_found_by,total_time_used,sampling_time,execution_time,time_remaining,cells_searched,coverage_rate,time_efficiency,search_efficiency,selected_strategy,selection_confidence
mas_full_study_0026,2026-01-28T10:10:39.501716,1025,50,3,30.0,0.0,True,47,False,,30.289670773276658,0.0,30.0,0.0,37,0.74,0.0,1.2333333333333334,greedy_nearest,1.0
mas_full_study_0027,2026-01-28T10:10:39.502717,1026,50,3,30.0,0.0,True,28,True,1,16.99077649723568,0.0,30.0,13.009223502764321,29,0.58,0.43364078342547735,0.9666666666666667,greedy_nearest,1.0
mas_full_study_0028,2026-01-28T10:10:39.503718,1027,50,3,30.0,0.0,True,39,True,1,30.31058419753674,0.0,30.0,0.0,41,0.82,0.0,1.3666666666666667,greedy_nearest,1.0
mas_full_study_0029,2026-01-28T10:10:39.504703,1028,50,3,30.0,0.0,True,38,False,,30.038488517629972,0.0,30.0,0.0,42,0.84,0.0,1.4,greedy_nearest,1.0
mas_full_study_0030,2026-01-28T10:10:39.505214,1029,50,3,30.0,0.0,True,13,True,0,17.217976388366843,0.0,30.0,12.782023611633157,25,0.5,0.4260674537211052,0.8333333333333334,greedy_nearest,1.0
mas_full_study_0031,2026-01-28T10:10:39.506249,1030,50,3,30.0,0.0,True,9,True,0,19.30539701820273,0.0,30.0,10.69460298179727,19,0.38,0.35648676605990903,0.6333333333333333,greedy_nearest,1.0
mas_full_study_0032,2026-01-28T10:10:39.506249,1031,50,3,30.0,0.0,True,21,True,1,14.431521286580175,0.0,30.0,15.568478713419825,17,0.34,0.5189492904473275,0.5666666666666667,greedy_nearest,1.0
mas_full_study_0033,2026-01-28T10:10:39.507241,1032,50,3,30.0,0.0,True,6,True,0,8.704747617015478,0.0,30.0,21.295252382984522,13,0.26,0.709841746099484,0.43333333333333335,greedy_nearest,1.0
mas_full_study_0034,2026-01-28T10:10:39.508240,1033,50,3,30.0,0.0,True,33,True,1,25.230749874971735,0.0,30.0,4.769250125028265,35,0.7,0.15897500416760882,1.1666666666666667,greedy_nearest,1.0
mas_full_study_0035,2026-01-28T10:10:39.509258,1034,50,3,30.0,0.0,True,11,True,0,17.31485942250524,0.0,30.0,12.68514057749476,22,0.44,0.42283801924982534,0.7333333333333333,greedy_nearest,1.0
mas_full_study_0036,2026-01-28T10:10:39.509258,1035,50,3,30.0,0.0,True,8,True,2,12.442911695042476,0.0,30.0,17.557088304957524,18,0.36,0.5852362768319175,0.6,greedy_nearest,1.0
mas_full_study_0037,2026-01-28T10:10:39.510250,1036,50,3,30.0,0.0,True,40,True,2,8.642334040558682,0.0,30.0,21.35766595944132,9,0.18,0.711922198648044,0.3,greedy_nearest,1.0
mas_full_study_0038,2026-01-28T10:10:39.510250,1037,50,3,30.0,0.0,True,9,True,2,3.240610024946523,0.0,30.0,26.759389975053477,3,0.06,0.8919796658351159,0.1,greedy_nearest,1.0
mas_full_study_0039,2026-01-28T10:10:39.511226,1038,50,3,30.0,0.0,True,2,True,0,5.585114486829527,0.0,30.0,24.414885513170475,7,0.14,0.8138295171056825,0.23333333333333334,greedy_nearest,1.0
mas_full_study_0040,2026-01-28T10:10:39.512225,1039,50,3,30.0,0.0,True,18,True,2,5.17055172812601,0.0,30.0,24.82944827187399,3,0.06,0.827648275729133,0.1,greedy_nearest,1.0
mas_full_study_0041,2026-01-28T10:10:39.513224,1040,50,3,30.0,0.0,True,38,True,2,28.350779685051947,0.0,30.0,1.649220314948053,39,0.78,0.05497401049826844,1.3,greedy_nearest,1.0
mas_full_study_0042,2026-01-28T10:10:39.513224,1041,50,3,30.0,0.0,True,9,True,2,13.865385442855434,0.0,30.0,16.134614557144566,18,0.36,0.5378204852381522,0.6,greedy_nearest,1.0
mas_full_study_0043,2026-01-28T10:10:39.514733,1042,50,3,30.0,0.0,True,15,False,,30.061992782070572,0.0,30.0,0.0,45,0.9,0.0,1.5,greedy_nearest,1.0
mas_full_study_0044,2026-01-28T10:10:39.515282,1043,50,3,30.0,0.0,True,29,True,0,22.900579886342182,0.0,30.0,7.099420113657818,31,0.62,0.23664733712192726,1.0333333333333334,greedy_nearest,1.0
